Date,気温(℃),降水量(mm),日射量(MJ/㎡),風速(m/s),湿度(％),雲量(10分比)
2001-01-01,7.5,0.0,32.0,11.5,2.5,6.2
2001-01-08,5.328571428571428,4.571428571428571,43.0,9.385714285714286,3.242857142857143,3.7857142857142856
2001-01-15,4.914285714285714,3.0714285714285716,48.714285714285715,8.471428571428572,4.7,3.1142857142857143
2001-01-22,4.071428571428571,1.7857142857142858,40.857142857142854,9.514285714285716,4.585714285714286,3.442857142857143
2001-01-29,4.728571428571429,8.642857142857142,57.714285714285715,7.728571428571429,6.085714285714286,3.9857142857142853
2001-02-05,5.6000000000000005,0.35714285714285715,46.0,8.757142857142856,5.614285714285714,3.142857142857143
2001-02-12,5.642857142857143,2.142857142857143,50.142857142857146,9.857142857142858,7.057142857142857,3.185714285714286
2001-02-19,5.328571428571428,0.0,45.57142857142857,11.714285714285714,5.128571428571428,3.2714285714285714
2001-02-26,8.785714285714286,0.7857142857142857,48.142857142857146,13.714285714285714,4.571428571428571,3.685714285714286
2001-03-05,7.957142857142857,6.571428571428571,56.714285714285715,10.114285714285714,5.985714285714286,3.5285714285714285
2001-03-12,7.1571428571428575,0.0,40.857142857142854,14.771428571428572,4.128571428571428,4.0
2001-03-19,10.171428571428573,0.42857142857142855,48.714285714285715,15.971428571428573,4.5,3.4857142857142853
2001-03-26,14.685714285714285,3.142857142857143,52.57142857142857,14.014285714285714,6.814285714285715,3.242857142857143
2001-04-02,9.014285714285714,5.214285714285714,58.285714285714285,13.528571428571428,5.385714285714286,3.314285714285714
2001-04-09,14.9,0.2857142857142857,57.142857142857146,20.400000000000002,5.085714285714286,3.4285714285714284
2001-04-16,17.314285714285713,0.0,52.0,20.25714285714286,4.414285714285714,3.6142857142857143
2001-04-23,15.957142857142857,0.7857142857142857,54.57142857142857,15.971428571428572,6.371428571428572,3.7857142857142856
2001-04-30,16.2,4.714285714285714,62.142857142857146,13.842857142857143,7.371428571428572,3.5
2001-05-07,15.085714285714285,3.7857142857142856,67.57142857142857,16.585714285714285,7.957142857142857,3.857142857142857
2001-05-14,19.614285714285717,3.7142857142857144,66.71428571428571,16.5,7.414285714285714,2.8285714285714287
2001-05-21,21.47142857142857,1.5,62.142857142857146,21.428571428571427,5.771428571428571,3.2857142857142856
2001-05-28,20.842857142857145,10.142857142857142,77.42857142857143,10.942857142857141,9.285714285714286,2.957142857142857
2001-06-04,22.685714285714287,5.214285714285714,57.857142857142854,17.642857142857142,8.485714285714286,2.6999999999999997
2001-06-11,21.885714285714283,9.571428571428571,73.14285714285714,13.9,9.657142857142857,2.4714285714285715
2001-06-18,20.62857142857143,9.285714285714286,75.71428571428571,10.714285714285714,9.728571428571428,3.1142857142857143
2001-06-25,23.485714285714288,1.6428571428571428,75.28571428571429,9.985714285714286,9.685714285714285,2.957142857142857
2001-07-02,27.542857142857144,0.14285714285714285,66.0,20.085714285714285,6.128571428571428,2.5285714285714285
2001-07-09,28.014285714285712,0.0,61.0,22.228571428571428,6.057142857142857,2.642857142857143
2001-07-16,29.7,0.0,61.857142857142854,25.057142857142857,2.4857142857142853,4.171428571428572
2001-07-23,29.32857142857143,0.14285714285714285,67.0,19.728571428571428,7.871428571428572,2.8285714285714287
2001-07-30,27.2,5.785714285714286,63.57142857142857,15.985714285714286,7.442857142857143,3.4714285714285715
2001-08-06,27.514285714285712,0.0,67.28571428571429,12.571428571428571,7.9142857142857155,2.9857142857142853
2001-08-13,25.75714285714286,0.14285714285714285,74.28571428571429,7.771428571428572,9.757142857142856,2.4
2001-08-20,26.071428571428573,0.8571428571428571,65.14285714285714,17.728571428571428,7.585714285714286,3.3000000000000003
2001-08-27,27.185714285714287,16.714285714285715,74.14285714285714,10.714285714285714,8.342857142857143,2.7142857142857144
2001-09-03,25.057142857142857,2.4285714285714284,70.14285714285714,11.12857142857143,9.742857142857144,3.185714285714286
2001-09-10,24.32857142857143,8.928571428571429,74.0,8.528571428571428,9.328571428571427,3.8428571428571425
2001-09-17,25.75714285714286,14.214285714285714,76.28571428571429,9.242857142857144,8.5,2.9285714285714284
2001-09-24,20.928571428571427,2.642857142857143,65.42857142857143,11.814285714285715,5.328571428571428,3.6142857142857143
2001-10-01,20.599999999999998,11.285714285714286,61.714285714285715,11.628571428571428,6.014285714285714,2.6
2001-10-08,20.7,1.6428571428571428,61.0,11.457142857142857,7.485714285714286,3.6714285714285713
2001-10-15,20.085714285714285,26.785714285714285,61.857142857142854,12.12857142857143,4.771428571428571,3.357142857142857
2001-10-22,16.771428571428572,5.857142857142857,65.0,9.642857142857142,6.371428571428572,2.7714285714285714
2001-10-29,18.314285714285713,6.142857142857143,58.285714285714285,10.942857142857141,5.057142857142857,3.016666666666667
2001-11-05,15.757142857142856,6.357142857142857,59.142857142857146,9.214285714285714,6.357142857142857,3.014285714285714
2001-11-12,12.771428571428572,11.285714285714286,65.42857142857143,5.771428571428571,6.828571428571428,3.3714285714285714
2001-11-19,12.185714285714285,0.0,46.142857142857146,9.842857142857143,5.1571428571428575,2.7857142857142856
2001-11-26,12.857142857142858,0.0,55.142857142857146,9.728571428571428,1.8571428571428572,2.1714285714285713
2001-12-03,11.985714285714286,0.0,48.0,9.557142857142855,3.457142857142857,2.442857142857143
2001-12-10,9.271428571428572,2.357142857142857,55.285714285714285,7.0,5.6571428571428575,3.4285714285714284
2001-12-17,8.72857142857143,1.3571428571428572,40.57142857142857,9.014285714285714,2.442857142857143,3.1285714285714286
2001-12-24,7.014285714285714,0.5714285714285714,42.0,8.885714285714284,3.7714285714285714,2.857142857142857
2001-12-31,6.971428571428572,0.0,42.285714285714285,8.6,3.8428571428571425,3.3000000000000003
